Name, JobTitle, Ppsn, Password, Id, IBAN, Address, Phone Number, Email, Pay Scale
Henry Sampers,ANALYST PROGRAMMER 2,2128974w,2128974w,23363819,1.23457E+17,5 The cedars briarField,851723305,hsampers77@gmail.com,6
David Bradshaw,RESEARCH ASSISTANT,1111111a,1111111a,23377569,1.23457E+17,6 The cedars briarField,851723306,23377569@studentmail.ul.ie,5
Fuwhad Akinwale ,CLINICAL FELLOW,1111111b,1111111b,23362227,1.23457E+17,7 The cedars briarField,851723307,23362227@studentmail.ul.ie,6
Jamie O Connor,CLINICAL FELLOW,1111111c,1111111c,23354879,1.23457E+17,8 The cedars briarField,851723308,23354879@studentmail.ul.ie,7
Adam Downes,UNIVERSITY TEACHER,1111111d,1111111d,23376163,1.23457E+17,9 The cedars briarField,851723309,23376163@studentmail.ul.ie,4
Brock Lesnar,CHIEF TECHNICAL OFFICER,1111111e,1111111e,23312345,1.23457E+17,10 The cedars briarField,851723310,23312345@studentmail.ul.ie,3
Donald Trump,ANALYST PROGRAMMER 2,1111111f,1111111f,23323456,1.23457E+17,11 The cedars briarField,851723311,23323456@studentmail.ul.ie,8
Charles Chaplin,ASSOCIATE TEACHER,1111111g,1111111g,23345678,1.23457E+17,12 The cedars briarField,851723312,23345678@studentmail.ul.ie,4
Jason Bateman,GROUNDS SUPERVISOR,1111111h,1111111h,23356789,1.23457E+17,13 The cedars briarField,851723313,23356789@studentmail.ul.ie,11
Jake Gyllenhaal,LIBRARY ATTENDANT,1111111i,1111111i,23367890,1.23457E+17,14 The cedars briarField,851723314,23367890@studentmail.ul.ie,6
Natalie Portman,EXECUTIVE ADMINISTRATOR,1111111j,1111111j,23313456,1.23457E+17,15 The cedars briarField,851723315,23313456@studentmail.ul.ie,1
Anne Hathaway,EPS CATEGORY SPECIALIST,1111111k,1111111k,23324567,1.23457E+17,16 The cedars briarField,851723316,23324567@studentmail.ul.ie,4
Scarlett Johansson,ANALYST PROGRAMMER 1,1111111l,1111111l,23335678,1.23457E+17,17 The cedars briarField,851723317,23335678@studentmail.ul.ie,7
Freddie Mercury,SENIOR LIBRARY ASSISTANT,1111111m,1111111m,23346789,1.23457E+17,18 The cedars briarField,851723318,23346789@studentmail.ul.ie,2
Mila Kunis,SERVICE STAFF,1111111n,1111111n,23357890,1.23457E+17,19 The cedars briarField,851723319,23357890@studentmail.ul.ie,8
Robin Williams,SUB LIBRARIAN,1111111o,1111111o,23309876,1.23457E+17,20 The cedars briarField,851723320,23309876@studentmail.ul.ie,1
Kobe Bryant,PRINT OPERATOR 2,1111111p,1111111p,23398765,1.23457E+17,21 The cedars briarField,851723321,23398765@studentmail.ul.ie,2
George Lucas,SERVICE STAFF,1111111g,1111111g,23387654,1.23457E+17,22 The cedars briarField,851723322,23387654@studentmail.ul.ie,14
Sofia Vergara,CO-OP STUDENTS,1111111q,1111111q,23376543,1.23457E+17,23 The cedars briarField,851723323,23376543@studentmail.ul.ie,1
Bruce Springsteen,EPS CATEGORY MANAGER,1111111r,1111111r,23365432,1.23457E+17,24 The cedars briarField,851723324,23365432@studentmail.ul.ie,3
Britney Spears,EPS CATEGORY SPECIALIST,1111111s,1111111s,23354321,1.23457E+17,25 The cedars briarField,851723325,23354321@studentmail.ul.ie,1
Vin Diesel,ASSISTANT LIBRARIAN 2,1111111t,1111111t,23343210,1.23457E+17,26 The cedars briarField,851723326,23343210@studentmail.ul.ie,9
Megan Fox,LIBRARY ASSISTANT,1111111u,1111111u,23367584,1.23457E+17,27 The cedars briarField,851723327,23367584@studentmail.ul.ie,3
Jim Parsons,ANALYST PROGRAMMER 1,1111111v,1111111v,23386985,1.23457E+17,28 The cedars briarField,851723328,23386985@studentmail.ul.ie,1
Denzel Washington,POST-DOCTORAL RESEARCHER 2,1111111w,1111111w,23309574,1.23457E+17,29 The cedars briarField,851723329,23309574@studentmail.ul.ie,2
Halle Berry,SUB LIBRARIAN,1111111x,1111111x,23371534,1.23457E+17,30 The cedars briarField,851723330,23371534@studentmail.ul.ie,13
Tom Hardy,PROFESSOR (FORMERLY ASSOCIATE PROFESSOR),1111111y,1111111y,23344678,1.23457E+17,31 The cedars briarField,851723331,23344678@studentmail.ul.ie,3
Tom Hanks,ADMINISTRATOR,1111111z,1111111z,23378372,1.23457E+17,32 The cedars briarField,851723332,23378372@studentmail.ul.ie,5
Channing Tatum,LIBRARY ASSISTANT,2222222a,2222222a,23351923,1.23457E+17,33 The cedars briarField,851723333,23351923@studentmail.ul.ie,4
Reese Witherspoon,ANALYST PROGRAMMER 1,2222222b,2222222b,23364843,1.23457E+17,34 The cedars briarField,851723334,23364843@studentmail.ul.ie,2
Ariana Grande,UNIVERSITY TEACHER,2222222c,2222222c,23384739,1.23457E+17,35 The cedars briarField,851723335,23384739@studentmail.ul.ie,10
Elton John,SENIOR ADMINISTRATIVE OFFICER I,2222222d,2222222d,23333333,1.23457E+17,36 The cedars briarField,851723336,23333333@studentmail.ul.ie,12
Serena Williams,FULL PROFESSOR (FORMERLY PROFESSOR),2222222e,2222222e,23344444,1.23457E+17,37 The cedars briarField,851723337,23344444@studentmail.ul.ie,5
Elvis Presley,EXECUTIVE ADMINISTRATOR,2222222f,2222222f,23355555,1.23457E+17,38 The cedars briarField,851723338,23355555@studentmail.ul.ie,9
Lionel Messi,POST-DOCTORAL RESEARCHER 1,2222222g,2222222g,23311111,1.23457E+17,39 The cedars briarField,851723339,23311111@studentmail.ul.ie,5
Cristano Ronaldo,RESEARCH ASSISTANT,2222222h,2222222h,23322222,1.23457E+17,40 The cedars briarField,851723340,23322222@studentmail.ul.ie,3
Stephen Hawking,SENIOR EXECUTIVE ADMINISTRATOR,2222222i,2222222i,23366666,1.23457E+17,41 The cedars briarField,851723341,23366666@studentmail.ul.ie,6
Liam Neeson,EXECUTIVE ADMINISTRATOR,2222222j,2222222j,23377777,1.23457E+17,42 The cedars briarField,851723342,23377777@studentmail.ul.ie,2
Ryan Reynolds,SUB LIBRARIAN,2222222k,2222222k,23388888,1.23457E+17,43 The cedars briarField,851723343,23388888@studentmail.ul.ie,6
Bob Marley,ANALYST PROGRAMMER 2,2222222l,2222222l,23399999,1.23457E+17,44 The cedars briarField,851723344,23399999@studentmail.ul.ie,9
